"Date","CANEIAM"
2007-01-01,100
2007-02-01,100.3
2007-03-01,100.5
2007-04-01,100.5
2007-05-01,100.6
2007-06-01,100.9
2007-07-01,101.1
2007-08-01,101.2
2007-09-01,101.4
2007-10-01,101.7
2007-11-01,101.9
2007-12-01,101.9
2008-01-01,102.2
2008-02-01,102.6
2008-03-01,102.5
2008-04-01,102.6
2008-05-01,102.7
2008-06-01,102.6
2008-07-01,102.6
2008-08-01,102.6
2008-09-01,103.2
2008-10-01,103.2
2008-11-01,102.7
2008-12-01,102.5
2009-01-01,101.8
2009-02-01,101.4
2009-03-01,101.1
2009-04-01,101
2009-05-01,101
2009-06-01,100.9
2009-07-01,100.8
2009-08-01,101
2009-09-01,101.2
2009-10-01,101.2
2009-11-01,101.7
2009-12-01,101.5
2010-01-01,101.7
2010-02-01,101.9
2010-03-01,101.9
2010-04-01,102.3
2010-05-01,102.4
2010-06-01,102.9
2010-07-01,102.9
2010-08-01,103.1
2010-09-01,102.9
2010-10-01,103.1
2010-11-01,103.2
2010-12-01,103.4
2011-01-01,103.8
2011-02-01,103.8
2011-03-01,103.8
2011-04-01,104.1
2011-05-01,104.1
2011-06-01,104.3
2011-07-01,104.5
2011-08-01,104.5
2011-09-01,104.7
2011-10-01,104.5
2011-11-01,104.4
2011-12-01,104.6
2012-01-01,104.6
2012-02-01,104.7
2012-03-01,105
2012-04-01,105.4
2012-05-01,105.4
2012-06-01,105.4
2012-07-01,105.4
2012-08-01,105.7
2012-09-01,105.8
2012-10-01,105.9
2012-11-01,106.2
2012-12-01,106.5
2013-01-01,106.4
2013-02-01,106.7
2013-03-01,106.3
2013-04-01,106.4
2013-05-01,106.9
2013-06-01,106.9
